SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
8/31/2021 12:00:00 AM,1,412,430
9/1/2021 12:00:00 AM,1,461,501
9/2/2021 12:00:00 AM,1,419,496
9/3/2021 12:00:00 AM,1,437,456
9/4/2021 12:00:00 AM,1,360,360
9/5/2021 12:00:00 AM,1,297,322
9/6/2021 12:00:00 AM,1,193,206
9/7/2021 12:00:00 AM,1,596,642
9/8/2021 12:00:00 AM,1,127,152
9/9/2021 12:00:00 AM,1,535,571
9/10/2021 12:00:00 AM,1,395,433
9/11/2021 12:00:00 AM,1,445,512
9/12/2021 12:00:00 AM,1,409,443
9/13/2021 12:00:00 AM,1,517,543
9/14/2021 12:00:00 AM,1,512,537
