ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
8/31/2021,687,218,5,39,0,3.72000002861023,0.200000002980232,3.05999994277954
9/1/2021,688,145,18,51,0,2.09999990463257,0.439999997615814,6.32000017166138
9/2/2021,894,104,7,37,0,1.57000005245209,0.370000004768372,2.94000005722046
9/3/2021,674,184,17,109,0,3.44000005722046,0.680000007152557,13.1400003433228
9/4/2021,855,202,4,19,0,2.97000002861023,0.219999998807907,1.47000002861023
9/5/2021,888,207,4,19,0,3.42000007629395,0.25,1.45000004768372
9/6/2021,821,221,1,16,0,4.53999996185303,0.059999998658895,1.24000000953674
9/7/2021,628,181,13,86,0,3.20000004768372,0.5,9.55000019073486
9/8/2021,1045,184,6,35,0,2.78999996185303,0.349999994039536,2.76999998092651
9/9/2021,779,174,0,0,0,3.27999997138977,0,0
9/10/2021,770,219,17,1,0,4.92000007629395,0.370000004768372,0.03999999910593
9/11/2021,626,153,38,111,0,3.45000004768372,1.73000001907349,8.15999984741211
9/12/2021,767,160,2,68,0,2.07999992370606,0.059999998658895,5.53999996185303
9/13/2021,555,216,17,60,0,3.20000004768372,0.370000004768372,6.1100001335144
9/14/2021,769,136,2,45,0,2.6800000667572,0,5.96000003814697
