ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
3/11/2021,1000,265,115,60,0,1.70000004768372,0.419999986886978,0.980000019073486
3/12/2021,634,368,0,0,0,5.53999996185303,0,0
3/13/2021,673,217,5,8,0,2.63000011444092,0.239999994635582,0.560000002384186
3/14/2021,690,197,0,0,0,3.1800000667572,0,0
3/15/2021,695,382,0,0,0,6.05999994277954,0,0
3/16/2021,632,275,7,2,0,3.44000005722046,0.330000013113022,0.119999997317791
3/17/2021,569,493,0,0,0,7.78999996185303,0,0
3/18/2021,297,217,0,0,0,2.9300000667572,0,0
3/19/2021,259,195,8,10,0,3.54999995231628,0.389999985694885,0.740000009536743
3/20/2021,542,483,4,31,0,7.8600001335144,0.140000000596046,2.30999994277954
3/21/2021,717,375,0,0,0,5.67000007629395,0,0
3/22/2021,554,265,8,6,0,4.07000017166138,0.239999994635582,0.389999985694885
3/23/2021,753,191,0,0,0,2.35999989509583,0,0
3/24/2021,561,470,5,4,0,6.6100001335144,0.25,0.259999990463257
3/25/2021,685,255,0,0,0,4.34000015258789,0,0
