SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6/23/2021 12:00:00 AM,1,325,330
6/24/2021 12:00:00 AM,1,444,460
6/25/2021 12:00:00 AM,1,423,443
6/26/2021 12:00:00 AM,1,396,413
6/27/2021 12:00:00 AM,1,451,491
6/28/2021 12:00:00 AM,1,397,420
6/29/2021 12:00:00 AM,1,379,405
6/30/2021 12:00:00 AM,1,288,298
7/1/2021 12:00:00 AM,1,393,404
7/2/2021 12:00:00 AM,1,446,456
7/3/2021 12:00:00 AM,2,581,611
7/4/2021 12:00:00 AM,1,416,431
7/5/2021 12:00:00 AM,1,425,430
7/6/2021 12:00:00 AM,1,461,486
