ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
6/23/2021,816,294,0,0,0,5.26000022888184,0,0
6/24/2021,761,206,3,10,0,3.86999988555908,0.189999997615814,0.75
6/25/2021,768,102,54,73,0,1.21000003814697,2.07999992370606,5.01999998092651
6/26/2021,762,236,21,8,0,5.23000001907349,1.36000001430511,0.610000014305115
6/27/2021,579,316,17,14,0,5.80000019073486,0.990000009536743,1.04999995231628
6/28/2021,771,253,17,2,0,4.73000001907349,1.20000004768372,0.150000005960464
6/29/2021,632,386,13,4,0,7.5,0.419999986886978,0.300000011920929
6/30/2021,952,174,15,1,0,2.28999996185303,0.959999978542328,0.070000000298023
7/1/2021,869,94,62,11,0,0.980000019073486,4.5,0.800000011920929
7/2/2021,688,233,49,13,0,3.75,2.90000009536743,0.939999997615814
7/3/2021,485,320,0,0,0,5.42999982833862,0,0
7/4/2021,521,371,53,88,0,5.30000019073486,3.79999995231628,6.8600001335144
7/5/2021,535,390,17,25,0,8.02000045776367,1.20000004768372,1.92999994754791
7/6/2021,585,364,34,14,0,8.09000015258789,1.23000001907349,0.740000009536743
