SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
7/8/2021 12:00:00 AM,2,540,553
7/9/2021 12:00:00 AM,2,471,493
7/10/2021 12:00:00 AM,1,511,523
7/11/2021 12:00:00 AM,1,294,305
7/12/2021 12:00:00 AM,2,588,638
7/13/2021 12:00:00 AM,1,508,526
7/14/2021 12:00:00 AM,1,444,493
7/15/2021 12:00:00 AM,1,484,497
7/16/2021 12:00:00 AM,1,504,518
7/17/2021 12:00:00 AM,3,496,533
7/18/2021 12:00:00 AM,2,493,535
7/19/2021 12:00:00 AM,1,491,511
7/20/2021 12:00:00 AM,1,489,507
7/21/2021 12:00:00 AM,1,393,414
