SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
9/3/2021 12:00:00 AM,1,426,462
9/4/2021 12:00:00 AM,1,372,427
9/5/2021 12:00:00 AM,1,505,528
9/6/2021 12:00:00 AM,1,467,496
9/7/2021 12:00:00 AM,1,364,388
9/8/2021 12:00:00 AM,1,486,517
9/9/2021 12:00:00 AM,1,505,526
9/10/2021 12:00:00 AM,1,429,435
9/11/2021 12:00:00 AM,1,393,412
9/12/2021 12:00:00 AM,1,521,547
9/13/2021 12:00:00 AM,1,285,305
9/14/2021 12:00:00 AM,1,489,524
9/15/2021 12:00:00 AM,1,392,407
9/16/2021 12:00:00 AM,1,527,543
9/17/2021 12:00:00 AM,1,252,282
