ActivityDay,Calories
9/3/2021,2691
9/4/2021,2473
9/5/2021,1922
9/6/2021,2227
9/7/2021,2160
9/8/2021,2116
9/9/2021,2614
9/10/2021,2204
9/11/2021,2024
9/12/2021,2346
9/13/2021,2150
9/14/2021,2352
9/15/2021,1885
9/16/2021,2231
9/17/2021,2195
