ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
6/15/2021,846,475,73,46,0,9.42000007629395,1.72000002861023,2.47000002861023
6/16/2021,575,231,24,79,0,3.76999998092651,0.899999976158142,5.23000001907349
6/17/2021,1181,205,7,47,0,2.72000002861023,0.389999985694885,3.17000007629395
6/18/2021,372,448,70,50,0,10.2600002288818,2.36999988555908,3.20000004768372
6/19/2021,869,361,109,41,0,4.71999979019165,1.02999997138977,1.97000002861023
6/20/2021,913,499,15,13,0,10.5200004577637,0.409999996423721,0.860000014305115
6/21/2021,987,338,34,81,0,5.90000009536743,1.50999999046326,5.17000007629395
6/22/2021,439,424,49,56,0,11.210000038147,1.8400000333786,3.75999999046326
6/23/2021,925,482,17,16,0,12.7299995422363,0.680000007152557,1.12000000476837
6/24/2021,1111,317,11,1,0,5.53000020980835,0.400000005960464,0.03999999910593
6/25/2021,380,430,119,68,0,3.76999998092651,4.32000017166138,3.72000002861023
6/26/2021,552,367,40,114,0,3.75999999046326,1.36000001430511,3.21000003814697
6/27/2021,479,209,0,0,0,2.63000011444092,0,0
6/28/2021,794,340,0,0,0,5.92999982833862,0,0
6/29/2021,355,511,44,19,0,13.6999998092651,1.60000002384186,1.25
