ActivityDay,Calories
5/1/2021,1835
5/2/2021,1705
5/3/2021,1853
5/4/2021,1799
5/5/2021,1905
5/6/2021,1794
5/7/2021,1781
5/8/2021,1712
5/9/2021,1415
5/10/2021,1625
5/11/2021,1817
5/12/2021,1750
5/13/2021,1764
5/14/2021,1429
5/15/2021,1928
