SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5/1/2021 12:00:00 AM,1,180,190
5/2/2021 12:00:00 AM,2,546,616
5/3/2021 12:00:00 AM,2,453,520
5/4/2021 12:00:00 AM,1,259,280
5/5/2021 12:00:00 AM,1,312,336
5/6/2021 12:00:00 AM,1,442,462
5/7/2021 12:00:00 AM,2,574,616
5/8/2021 12:00:00 AM,1,249,262
5/9/2021 12:00:00 AM,1,461,483
5/10/2021 12:00:00 AM,3,612,629
5/11/2021 12:00:00 AM,1,217,218
5/12/2021 12:00:00 AM,1,432,457
5/13/2021 12:00:00 AM,1,423,450
5/14/2021 12:00:00 AM,1,480,521
5/15/2021 12:00:00 AM,2,496,560
