ActivityDay,Calories
3/1/2021,1755
3/2/2021,1616
3/3/2021,1611
3/4/2021,1571
3/5/2021,1675
3/6/2021,1704
3/7/2021,1629
3/8/2021,1566
3/9/2021,1669
3/10/2021,1562
3/11/2021,1621
3/12/2021,1561
3/13/2021,1666
3/14/2021,1560
3/15/2021,2051
