SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2/2/2021 12:00:00 AM,2,522,562
2/3/2021 12:00:00 AM,1,400,444
2/4/2021 12:00:00 AM,1,416,471
2/5/2021 12:00:00 AM,2,467,507
2/6/2021 12:00:00 AM,1,464,489
2/7/2021 12:00:00 AM,1,438,468
2/8/2021 12:00:00 AM,1,448,489
2/9/2021 12:00:00 AM,1,198,204
2/10/2021 12:00:00 AM,1,371,411
2/11/2021 12:00:00 AM,1,480,524
2/12/2021 12:00:00 AM,1,368,412
2/13/2021 12:00:00 AM,1,363,385
2/14/2021 12:00:00 AM,1,332,349
2/15/2021 12:00:00 AM,1,483,520
