SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3/1/2021 12:00:00 AM,2,577,590
3/2/2021 12:00:00 AM,1,391,419
3/3/2021 12:00:00 AM,1,421,438
3/4/2021 12:00:00 AM,1,509,552
3/5/2021 12:00:00 AM,1,438,460
3/6/2021 12:00:00 AM,1,466,471
3/7/2021 12:00:00 AM,3,579,634
3/8/2021 12:00:00 AM,1,73,97
3/9/2021 12:00:00 AM,2,668,679
3/10/2021 12:00:00 AM,1,238,243
3/11/2021 12:00:00 AM,3,606,636
3/12/2021 12:00:00 AM,1,414,432
3/13/2021 12:00:00 AM,2,809,818
3/14/2021 12:00:00 AM,1,238,252
3/15/2021 12:00:00 AM,1,387,407
