ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
4/21/2021,1253,173,11,3,0,4.28999996185303,0.569999992847443,0.230000004172325
4/22/2021,1186,195,11,48,0,2.3199999332428,0.370000004768372,7.01000022888184
4/23/2021,635,275,13,30,0,4.23000001907349,0.5799999833107,1.77999997138977
4/24/2021,1161,207,16,56,0,3.40000009536743,1,5.51000022888184
4/25/2021,1091,288,35,26,0,4.23000001907349,0.509999990463257,1.29999995231628
4/26/2021,1094,310,21,15,0,4.32000017166138,1.02999997138977,1.14999997615814
4/27/2021,47,286,11,30,0,2.84999990463257,0.219999998807907,1.19000005722046
4/28/2021,0,233,19,45,0,1.24000000953674,0.389999985694885,2.77999997138977
4/29/2021,681,194,11,20,0,2.82999992370605,0.209999993443489,1.55999994277954
4/30/2021,1125,173,17,6,0,2.84999990463257,0.009999999776483,0.009999999776483
5/1/2021,1341,83,7,9,0,1.98000001907349,0.379999995231628,0.589999973773956
5/2/2021,1281,136,14,9,0,3.04999995231628,1,0.660000026226044
5/3/2021,244,140,12,48,0,1.80999994277954,0.72000002861023,7.82999992370605
5/4/2021,513,212,4,46,0,3.07999992370605,0.25,6.51999998092651
5/5/2021,552,132,2,8,0,3.38000011444092,0.129999995231628,0.889999985694885
