SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
8/8/2021 12:00:00 AM,1,420,453
8/9/2021 12:00:00 AM,1,372,392
8/10/2021 12:00:00 AM,1,351,394
8/11/2021 12:00:00 AM,1,421,437
8/12/2021 12:00:00 AM,1,431,442
8/13/2021 12:00:00 AM,1,450,465
8/14/2021 12:00:00 AM,1,328,336
8/15/2021 12:00:00 AM,2,423,502
8/16/2021 12:00:00 AM,1,408,408
8/17/2021 12:00:00 AM,1,340,351
8/18/2021 12:00:00 AM,1,298,344
8/19/2021 12:00:00 AM,1,328,382
8/20/2021 12:00:00 AM,2,472,523
8/21/2021 12:00:00 AM,1,291,326
