SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3/3/2021 12:00:00 AM,1,540,576
3/4/2021 12:00:00 AM,1,386,403
3/5/2021 12:00:00 AM,1,316,332
3/6/2021 12:00:00 AM,1,434,464
3/7/2021 12:00:00 AM,1,337,357
3/8/2021 12:00:00 AM,1,553,611
3/9/2021 12:00:00 AM,1,533,562
3/10/2021 12:00:00 AM,1,459,485
3/11/2021 12:00:00 AM,1,408,422
3/12/2021 12:00:00 AM,1,442,478
3/13/2021 12:00:00 AM,1,395,429
3/14/2021 12:00:00 AM,1,458,495
3/15/2021 12:00:00 AM,1,362,386
3/16/2021 12:00:00 AM,1,285,299
3/17/2021 12:00:00 AM,1,369,378
