ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
5/23/2021,1440,0,0,0,0,0,0,0
5/24/2021,1440,0,0,0,0,0,0,0
5/25/2021,1052,374,11,3,0,5.30999994277954,0.379999995231628,0.280000001192093
5/26/2021,569,425,0,0,0,7.53999996185303,0,0
5/27/2021,706,274,22,4,0,5.09000015258789,1.28999996185303,0.280000001192093
5/28/2021,698,295,3,31,0,5.26000022888184,0.180000007152557,3.04999995231628
5/29/2021,1390,50,0,0,0,1.33000004291534,0,0
5/30/2021,703,293,0,0,0,6.55999994277954,0,0
5/31/2021,595,362,0,0,0,6.96000003814697,0,0
6/1/2021,523,221,12,9,0,3.79999995231628,0.740000009536743,0.649999976158142
6/2/2021,1072,368,0,0,0,6.55000019073486,0,0
6/3/2021,611,227,17,15,0,3.26999998092651,0.889999985694885,0.46000000834465
6/4/2021,565,269,5,5,0,3.92000007629395,0.270000010728836,0.239999994635582
6/5/2021,1406,34,0,0,0,0.389999985694885,0,0
6/6/2021,541,404,7,8,0,7.84000015258789,0.319999992847443,0.639999985694885
