SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1/12/2021 12:00:00 AM,2,280,308
1/13/2021 12:00:00 AM,1,446,469
1/14/2021 12:00:00 AM,2,509,522
1/15/2021 12:00:00 AM,1,372,396
1/16/2021 12:00:00 AM,2,474,534
1/17/2021 12:00:00 AM,2,344,368
1/18/2021 12:00:00 AM,1,622,668
1/19/2021 12:00:00 AM,1,238,254
1/20/2021 12:00:00 AM,1,535,554
1/21/2021 12:00:00 AM,2,482,536
1/22/2021 12:00:00 AM,2,821,937
1/23/2021 12:00:00 AM,2,595,626
1/24/2021 12:00:00 AM,1,281,293
1/25/2021 12:00:00 AM,1,215,231
