SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5/29/2021 12:00:00 AM,1,488,506
5/30/2021 12:00:00 AM,1,401,402
5/31/2021 12:00:00 AM,1,443,461
6/1/2021 12:00:00 AM,1,428,433
6/2/2021 12:00:00 AM,1,315,324
6/3/2021 12:00:00 AM,1,335,342
6/4/2021 12:00:00 AM,1,509,511
6/5/2021 12:00:00 AM,1,350,352
6/6/2021 12:00:00 AM,1,375,379
6/7/2021 12:00:00 AM,1,412,413
6/8/2021 12:00:00 AM,1,399,408
6/9/2021 12:00:00 AM,1,414,428
6/10/2021 12:00:00 AM,1,330,337
6/11/2021 12:00:00 AM,1,359,366
