ActivityDay,Calories
5/29/2021,3168
5/30/2021,3333
5/31/2021,2955
6/1/2021,2934
6/2/2021,3859
6/3/2021,3513
6/4/2021,3446
6/5/2021,3751
6/6/2021,2897
6/7/2021,3028
6/8/2021,3176
6/9/2021,3150
6/10/2021,3429
6/11/2021,2882
6/12/2021,3336
