Time,Value
11/1/2021 12:00:00 AM,96
11/1/2021 12:15:00 AM,92
11/1/2021 1:15:00 AM,70
11/1/2021 3:00:00 AM,70
11/1/2021 11:30:00 AM,88
11/1/2021 11:45:00 AM,84
11/1/2021 12:00:00 PM,88
11/1/2021 12:15:00 PM,88
11/1/2021 12:30:00 PM,105
11/1/2021 12:45:00 PM,109
11/1/2021 1:00:00 PM,103
11/1/2021 1:15:00 PM,112
11/1/2021 1:30:00 PM,135
11/1/2021 1:45:00 PM,125
11/1/2021 2:00:00 PM,97
11/1/2021 2:15:00 PM,97
11/1/2021 2:30:00 PM,94
11/1/2021 2:45:00 PM,97
11/1/2021 3:00:00 PM,101
11/1/2021 3:15:00 PM,88
11/1/2021 3:30:00 PM,102
11/1/2021 3:45:00 PM,92
11/1/2021 4:00:00 PM,94
11/1/2021 4:15:00 PM,101
11/1/2021 4:30:00 PM,104
11/1/2021 4:45:00 PM,96
11/1/2021 5:00:00 PM,101
11/1/2021 5:15:00 PM,94
11/1/2021 5:30:00 PM,105
11/1/2021 5:45:00 PM,100
11/1/2021 6:00:00 PM,90
11/1/2021 6:15:00 PM,94
11/1/2021 6:30:00 PM,100
11/1/2021 6:45:00 PM,91
11/1/2021 7:00:00 PM,95
11/1/2021 7:15:00 PM,95
11/1/2021 7:30:00 PM,100
11/1/2021 7:45:00 PM,98
11/1/2021 8:00:00 PM,92
11/1/2021 8:15:00 PM,93
11/1/2021 8:30:00 PM,92
11/1/2021 8:45:00 PM,97
11/1/2021 9:00:00 PM,100
11/1/2021 9:15:00 PM,92
11/1/2021 9:30:00 PM,89
11/1/2021 9:45:00 PM,101
11/1/2021 10:00:00 PM,104
11/1/2021 10:15:00 PM,94
11/1/2021 10:30:00 PM,97
11/1/2021 10:45:00 PM,105
11/1/2021 11:00:00 PM,106
11/1/2021 11:15:00 PM,104
11/1/2021 11:30:00 PM,101
11/1/2021 11:45:00 PM,109
11/2/2021 12:00:00 AM,110
11/2/2021 9:00:00 AM,101
11/2/2021 9:15:00 AM,114
11/2/2021 9:30:00 AM,109
11/2/2021 9:45:00 AM,122
11/2/2021 10:00:00 AM,108
11/2/2021 10:15:00 AM,99
11/2/2021 10:30:00 AM,101
11/2/2021 10:45:00 AM,106
11/2/2021 11:00:00 AM,100
11/2/2021 11:15:00 AM,106
11/2/2021 11:30:00 AM,107
11/2/2021 11:45:00 AM,107
