ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
9/21/2021,351,556,16,19,0,12.4200000762939,0.870000004768372,1.39999997615814
9/22/2021,323,597,44,10,0,12.4399995803833,1.78999996185303,0.699999988079071
9/23/2021,606,333,9,0,0,6.6399998664856,0.439999997615814,0
9/24/2021,408,522,38,14,0,10.8900003433228,2.05999994277954,0.980000019073486
9/25/2021,489,552,12,6,0,12.0100002288818,0.550000011920929,0.389999985694885
9/26/2021,516,547,26,5,0,11.1700000762939,1.36000001430511,0.370000004768372
9/27/2021,695,421,0,0,0,9.52999973297119,0,0
9/28/2021,336,431,129,48,0,7.84000015258789,2.40000009536743,2.21000003814697
9/29/2021,567,484,11,4,0,10.8800001144409,0.449999988079071,0.280000001192093
9/30/2021,683,203,70,18,0,4.86999988555908,3.4300000667572,1.26999998092651
10/1/2021,607,397,39,30,0,7.42999982833862,1.83000004291534,2.23000001907349
10/2/2021,622,363,13,1,0,5.92000007629395,0.300000011920929,0.019999999552965
10/3/2021,425,322,119,84,0,6.05000019073486,3.64000010490417,3.58999991416931
10/4/2021,662,234,12,7,0,4.76999998092651,0.680000007152557,0.479999989271164
