SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
9/21/2021 12:00:00 AM,1,364,401
9/22/2021 12:00:00 AM,1,424,466
9/23/2021 12:00:00 AM,2,442,492
9/24/2021 12:00:00 AM,1,423,458
9/25/2021 12:00:00 AM,1,356,381
9/26/2021 12:00:00 AM,1,315,346
9/27/2021 12:00:00 AM,1,306,324
9/28/2021 12:00:00 AM,1,445,496
9/29/2021 12:00:00 AM,1,342,374
9/30/2021 12:00:00 AM,1,454,466
10/1/2021 12:00:00 AM,1,344,367
10/2/2021 12:00:00 AM,1,420,441
10/3/2021 12:00:00 AM,1,454,490
10/4/2021 12:00:00 AM,2,461,524
