ActivityDay,Calories
12/28/2020,2927
12/29/2020,2911
12/30/2020,2972
12/31/2020,2640
1/1/2021,3029
1/2/2021,2979
1/3/2021,2807
1/4/2021,2621
1/5/2021,2480
1/6/2021,2462
1/7/2021,2906
1/8/2021,2712
1/9/2021,2740
1/10/2021,2665
1/11/2021,2606
