SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4/20/2021 12:00:00 AM,1,454,465
4/21/2021 12:00:00 AM,1,288,290
4/22/2021 12:00:00 AM,1,673,688
4/23/2021 12:00:00 AM,1,577,588
4/24/2021 12:00:00 AM,1,424,433
4/25/2021 12:00:00 AM,1,477,504
4/26/2021 12:00:00 AM,1,427,448
4/27/2021 12:00:00 AM,1,521,538
4/28/2021 12:00:00 AM,1,537,553
4/29/2021 12:00:00 AM,1,344,366
5/1/2021 12:00:00 AM,1,415,439
5/2/2021 12:00:00 AM,1,591,600
5/3/2021 12:00:00 AM,1,518,525
5/4/2021 12:00:00 AM,1,471,491
