ActivityDay,Calories
7/9/2021,2924
7/10/2021,3033
7/11/2021,2671
7/12/2021,2548
7/13/2021,2451
7/14/2021,2337
7/15/2021,3156
7/16/2021,3199
7/17/2021,2588
7/18/2021,2871
7/19/2021,2516
7/20/2021,2712
7/21/2021,3079
7/22/2021,2012
7/23/2021,1574
