ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
10/1/2021,1440,0,0,0,0,0,0,0
10/2/2021,1440,0,0,0,0,0,0,0
10/3/2021,1440,0,0,0,0,0,0,0
10/4/2021,1440,0,0,0,0,0,0,0
10/5/2021,1440,0,0,0,0,0,0,0
10/6/2021,1440,0,0,0,0,0,0,0
10/7/2021,1440,0,0,0,0,0,0,0
10/8/2021,1440,0,0,0,0,0,0,0
10/9/2021,1440,0,0,0,0,0,0,0
10/10/2021,1440,0,0,0,0,0,0,0
10/11/2021,1440,0,0,0,0,0,0,0
10/12/2021,1440,0,0,0,0,0,0,0
10/13/2021,1209,178,14,39,0,3.57999992370605,0.469999998807907,3.0699999332428
10/14/2021,592,203,15,39,0,3.07999992370605,0.479999989271164,3.00999999046326
10/15/2021,573,177,33,90,0,3.9300000667572,1.82000005245209,6.84000015258789
10/16/2021,775,108,3,6,0,1.32000005245209,0.070000000298023,0.090000003576279
10/17/2021,635,127,18,57,0,2.07999992370606,0.990000009536743,4.36999988555908
10/18/2021,562,202,9,23,0,2.99000000953674,0.469999998807907,1.73000001907349
10/19/2021,230,285,16,29,0,4.03999996185303,0.620000004768372,2.38000011444092
10/20/2021,145,224,28,55,0,2.75,1.0900000333786,4.05000019073486
10/21/2021,626,214,26,94,0,4.6100001335144,1.32000005245209,7.23000001907349
10/22/2021,668,262,14,41,0,4.6399998664856,0.660000026226044,3.17000007629395
10/23/2021,764,189,5,9,0,2.75999999046326,0.239999994635582,0.680000007152557
10/24/2021,82,214,0,0,0,3.17000007629395,0,0
10/25/2021,604,221,11,62,0,3.63000011444092,0.409999996423721,4.61999988555908
