SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
7/27/2021 12:00:00 AM,1,452,476
7/28/2021 12:00:00 AM,1,414,442
7/29/2021 12:00:00 AM,1,459,476
7/30/2021 12:00:00 AM,1,504,538
7/31/2021 12:00:00 AM,1,495,510
8/1/2021 12:00:00 AM,1,432,487
8/2/2021 12:00:00 AM,1,520,535
8/3/2021 12:00:00 AM,1,498,520
8/4/2021 12:00:00 AM,1,556,566
8/5/2021 12:00:00 AM,1,438,455
8/6/2021 12:00:00 AM,1,486,501
8/7/2021 12:00:00 AM,1,478,500
8/8/2021 12:00:00 AM,1,576,599
8/9/2021 12:00:00 AM,1,524,543
