ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
3/17/2021,1126,314,0,0,0,7.05000019073486,0,0
3/18/2021,491,301,26,114,0,5.76999998092651,1.1599999666214,5.90000009536743
3/19/2021,657,187,0,60,0,4.28000020980835,0,0
3/20/2021,811,305,2,20,0,5.59000015258789,0.129999995231628,1.60000002384186
3/21/2021,703,448,35,61,0,8.22999954223633,0.910000026226044,8.21000003814697
3/22/2021,581,196,9,110,0,4.53999996185303,0.319999992847443,5.30000019073486
3/23/2021,750,318,6,5,0,7.53999996185303,0.230000004172325,0.379999995231628
3/24/2021,535,196,31,134,0,3.10999989509583,1.12999999523163,7.71000003814697
3/25/2021,678,300,16,18,0,6.90000009536743,0.769999980926514,1.4099999666214
3/26/2021,547,240,60,84,0,6.17999982833862,2,5.09999990463257
3/27/2021,1133,247,13,47,0,3.75,0.379999995231628,3.3199999332428
3/28/2021,723,102,3,8,0,2.01999998092651,0.170000001788139,0.6700000166893
3/29/2021,1096,239,44,61,0,4.78000020980835,1.57000005245209,4.42000007629395
3/30/2021,517,249,21,70,0,5.73999977111816,0.810000002384186,4.94999980926514
3/31/2021,582,306,47,83,0,6.23999977111816,1.91999995708466,5.51000022888184
