ActivityDay,Calories
3/23/2021,2813
3/24/2021,2016
3/25/2021,2285
3/26/2021,2378
3/27/2021,2802
3/28/2021,2226
3/29/2021,2690
3/30/2021,2001
3/31/2021,3079
4/1/2021,2170
4/2/2021,2116
4/3/2021,3035
4/4/2021,2301
4/5/2021,2073
4/6/2021,2716
