ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1/16/2021,706,260,126,42,0,1.87999999523163,1.04999995231628,0.699999988079071
1/17/2021,1208,152,31,49,0,1.62000000476837,0.219999998807907,1.0900000333786
1/18/2021,1236,60,0,0,0,0.509999990463257,0,0
1/19/2021,453,129,214,252,0,1,0.860000014305115,2.25999999046326
1/20/2021,668,165,65,44,0,1.36000001430511,0.509999990463257,1.32000005245209
1/21/2021,1076,6,0,0,0,0.029999999329448,0,0
1/22/2021,1440,0,0,0,0,0,0,0
1/23/2021,1440,0,0,0,0,0,0,0
1/24/2021,1440,0,0,0,0,0,0,0
1/25/2021,1043,208,37,33,0,2.17000007629394,0.050000000745058,0.340000003576279
1/26/2021,1370,37,28,5,0,0.409999996423721,0.189999997615814,0.03999999910593
1/27/2021,1440,0,0,0,0,0,0,0
1/28/2021,1440,0,0,0,0,0,0,0
1/29/2021,1440,0,0,0,0,0,0,0
1/30/2021,1017,60,0,0,0,0.52999997138977,0,0
