ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
12/28/2020,1072,307,31,30,0,6.21999979019165,0.9200000166893,0.97000002861023
12/29/2020,614,323,27,39,0,5.8899998664856,0.879999995231628,0.810000002384186
12/30/2020,371,234,43,68,0,4.1100001335144,1.35000002384186,2.50999999046326
12/31/2020,923,288,12,26,0,4.96000003814697,0.050000000745058,0.790000021457672
1/1/2021,516,329,20,51,0,5.30000019073486,0.330000013113022,1.8400000333786
1/2/2021,627,310,58,28,0,5.09999990463257,0.97000002861023,0.839999973773956
1/3/2021,714,307,7,37,0,5.26000022888184,0.129999995231628,0.870000004768372
1/4/2021,681,272,15,6,0,5.57999992370605,0.170000001788139,0.310000002384186
1/5/2021,741,181,19,26,0,3.46000003814697,0.600000023841858,0.479999989271164
1/6/2021,888,153,12,30,0,2.78999996185303,0.059999998658895,0.8299999833107
1/7/2021,723,272,23,39,0,4.65999984741211,0.280000001192093,1.01999998092651
1/8/2021,620,270,23,28,0,5.42000007629395,0.280000001192093,1
1/9/2021,521,257,25,47,0,3.85999989509583,0.349999994039536,2.61999988555908
1/10/2021,510,322,10,1,0,6.25,0.52999997138977,0.070000000298023
1/11/2021,1146,248,24,22,0,4.36999988555908,0.239999994635582,0.6700000166893
