ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
2/12/2021,1440,0,0,0,0,0,0,0
2/13/2021,1440,0,0,0,0,0,0,0
2/14/2021,1440,0,0,0,0,0,0,0
2/15/2021,1412,28,0,0,0,0.860000014305115,0,0
2/16/2021,602,139,0,0,0,2.25,0,0
2/17/2021,377,367,176,88,0,4.92999982833862,2.15000009536743,2.33999991416931
2/18/2021,650,203,28,27,0,3.16000008583069,0.850000023841858,1.27999997138977
2/19/2021,625,250,44,59,0,2.66000008583069,0.389999985694885,3.41000008583069
2/20/2021,689,281,23,24,0,3.50999999046326,0.109999999403954,1.49000000953674
2/21/2021,639,226,12,23,0,3.4300000667572,0.330000013113022,1.5
2/22/2021,752,240,26,25,0.109999999403954,3.76999998092651,0.6700000166893,1.37999999523163
2/23/2021,669,214,5,22,0,2.86999988555908,0.070000000298023,1.35000002384186
2/24/2021,649,242,9,26,0,4.17999982833862,0.239999994635582,1.89999997615814
2/25/2021,857,232,15,30,0,4.03999996185303,0.5,2.10999989509583
2/26/2021,566,283,0,0,0,3.85999989509583,0,0
