ActivityDay,Calories
6/21/2021,2507
6/22/2021,3189
6/23/2021,2582
6/24/2021,3177
6/25/2021,2815
6/26/2021,3104
6/27/2021,4689
6/28/2021,3249
6/29/2021,2771
6/30/2021,3072
7/1/2021,2648
7/2/2021,2591
7/3/2021,2459
7/4/2021,2777
7/5/2021,2553
