SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
12/16/2020 12:00:00 AM,2,590,651
12/17/2020 12:00:00 AM,1,454,496
12/18/2020 12:00:00 AM,1,362,421
12/19/2020 12:00:00 AM,1,332,375
12/20/2020 12:00:00 AM,2,622,687
12/21/2020 12:00:00 AM,1,456,505
12/22/2020 12:00:00 AM,1,79,83
12/23/2020 12:00:00 AM,1,570,661
12/24/2020 12:00:00 AM,1,536,589
12/25/2020 12:00:00 AM,2,439,493
12/26/2020 12:00:00 AM,1,579,630
12/27/2020 12:00:00 AM,1,526,556
12/28/2020 12:00:00 AM,1,371,406
12/29/2020 12:00:00 AM,1,521,579
