ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
12/16/2020,520,269,0,0,0,4.3600001335144,0,0
12/17/2020,690,254,0,0,0,5.32000017166138,0,0
12/18/2020,709,310,0,0,0,6.42000007629395,0,0
12/19/2020,802,263,0,0,0,4.78999996185303,0,0
12/20/2020,542,211,0,0,0,3.86999988555908,0,0
12/21/2020,691,244,0,0,0,4.96000003814697,0,0
12/22/2020,1096,261,0,0,0,4,0,0
12/23/2020,590,189,0,0,0,2.69000005722046,0,0
12/24/2020,521,317,13,0,0,4.78000020980835,0.52999997138977,0
12/25/2020,683,238,17,9,0,3.39000010490417,0.6700000166893,0.589999973773956
12/26/2020,571,239,0,0,0,3.76999998092651,0,0
12/27/2020,628,256,0,0,0,4.67999982833862,0,0
12/28/2020,666,240,29,31,0,3.77999997138977,1.28999996185303,2.00999999046326
12/29/2020,701,228,0,0,0,3.69000005722046,0,0
