SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
12/10/2020 12:00:00 AM,2,472,484
12/11/2020 12:00:00 AM,1,436,442
12/12/2020 12:00:00 AM,1,415,422
12/13/2020 12:00:00 AM,1,409,454
12/14/2020 12:00:00 AM,1,315,320
12/15/2020 12:00:00 AM,1,360,373
12/16/2020 12:00:00 AM,1,363,366
12/17/2020 12:00:00 AM,1,351,364
12/18/2020 12:00:00 AM,3,528,551
12/19/2020 12:00:00 AM,2,386,403
12/20/2020 12:00:00 AM,1,445,496
12/21/2020 12:00:00 AM,2,507,518
12/22/2020 12:00:00 AM,3,500,543
12/23/2020 12:00:00 AM,1,264,283
12/24/2020 12:00:00 AM,1,245,263
