SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1/19/2021 12:00:00 AM,1,478,480
1/20/2021 12:00:00 AM,1,492,508
1/21/2021 12:00:00 AM,1,455,467
1/22/2021 12:00:00 AM,1,472,485
1/23/2021 12:00:00 AM,1,432,441
1/24/2021 12:00:00 AM,1,558,580
1/25/2021 12:00:00 AM,2,652,667
1/26/2021 12:00:00 AM,1,231,245
1/27/2021 12:00:00 AM,2,517,544
1/28/2021 12:00:00 AM,1,510,523
1/29/2021 12:00:00 AM,1,467,522
1/30/2021 12:00:00 AM,2,469,494
1/31/2021 12:00:00 AM,1,434,454
2/1/2021 12:00:00 AM,1,500,525
2/2/2021 12:00:00 AM,1,452,465
