SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
12/12/2020 12:00:00 AM,1,370,381
12/13/2020 12:00:00 AM,1,490,531
12/14/2020 12:00:00 AM,1,418,442
12/15/2020 12:00:00 AM,1,584,628
12/16/2020 12:00:00 AM,2,610,645
12/17/2020 12:00:00 AM,2,388,408
12/18/2020 12:00:00 AM,1,390,422
12/19/2020 12:00:00 AM,1,479,508
12/20/2020 12:00:00 AM,2,409,412
12/21/2020 12:00:00 AM,1,364,366
12/22/2020 12:00:00 AM,1,340,379
12/23/2020 12:00:00 AM,1,485,519
12/24/2020 12:00:00 AM,2,504,514
12/25/2020 12:00:00 AM,1,418,422
12/26/2020 12:00:00 AM,3,512,576
