ActivityDay,Calories
4/11/2021,2424
4/12/2021,2179
4/13/2021,2735
4/14/2021,2880
4/15/2021,2609
4/16/2021,2564
4/17/2021,3547
4/18/2021,2766
4/19/2021,2472
4/20/2021,2713
4/21/2021,2350
4/22/2021,2688
4/23/2021,2589
4/24/2021,3105
4/25/2021,1908
