SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
9/6/2021 12:00:00 AM,1,362,404
9/7/2021 12:00:00 AM,1,258,269
9/8/2021 12:00:00 AM,1,390,414
9/9/2021 12:00:00 AM,1,444,472
9/10/2021 12:00:00 AM,1,373,385
9/11/2021 12:00:00 AM,1,100,109
9/12/2021 12:00:00 AM,1,171,184
9/13/2021 12:00:00 AM,1,446,501
9/14/2021 12:00:00 AM,1,351,400
9/15/2021 12:00:00 AM,1,468,500
9/16/2021 12:00:00 AM,1,377,401
9/17/2021 12:00:00 AM,1,347,377
9/18/2021 12:00:00 AM,1,461,485
9/19/2021 12:00:00 AM,1,443,479
