ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1/16/2021,1440,0,0,0,0,0,0,0
1/17/2021,1181,245,3,11,0,6.03000020980835,0.090000003576279,0.77999997138977
1/18/2021,40,357,6,17,0,7.53999996185303,0.230000004172325,1.41999995708466
1/19/2021,749,316,3,8,0,7.63000011444092,0.140000000596046,0.6700000166893
1/20/2021,67,229,45,105,0,5.42999982833862,1.5,7.90999984741211
1/21/2021,588,334,6,17,0,8.68000030517578,0.209999993443489,1.37999999523163
1/22/2021,991,250,53,73,0,7.17000007629395,1.41999995708466,5.82000017166138
1/23/2021,649,235,12,11,0,4.76000022888184,0.439999997615814,0.759999990463257
1/24/2021,1329,92,3,16,0,2.03999996185303,0.150000005960464,1.32000005245209
1/25/2021,764,132,34,38,0,1.91999995708466,1.38999998569489,2.5
1/26/2021,449,258,32,43,0,5.30999994277954,1.36000001430511,3.70000004768372
1/27/2021,259,157,39,17,0,3.0699999332428,1.0900000333786,0.479999989271164
1/28/2021,166,271,37,31,0,7.46000003814697,1.27999997138977,2.28999996185303
1/29/2021,580,341,8,10,0,9.56999969482422,0.340000003576279,0.730000019073486
1/30/2021,453,392,109,40,0,8.36999988555908,2.69000005722046,2.71000003814697
