ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
3/23/2021,616,249,23,10,0,2.01999998092651,0.170000001788139,0.129999995231628
3/24/2021,542,460,9,3,0,7.71000003814697,0.029999999329448,0.009999999776483
3/25/2021,478,387,15,0,0,6.8899998664856,0.52999997138977,0
3/26/2021,531,223,111,22,0,2.97000002861023,4.78999996185303,1.37000000476837
3/27/2021,617,361,5,5,0,5.03000020980835,0.270000010728836,0.370000004768372
3/28/2021,564,406,17,2,0,5.98999977111816,0.310000002384186,0.140000000596046
3/29/2021,535,241,25,14,0,4.1399998664856,0.959999978542328,0.9200000166893
3/30/2021,534,222,72,64,0,3.53999996185303,1.69000005722046,3.09999990463257
3/31/2021,491,437,12,4,0,7.07000017166138,0.239999994635582,0.28999999165535
4/1/2021,683,291,33,33,0,4.03000020980835,1.57000005245209,2.36999988555908
4/2/2021,440,360,62,13,0.280000001192093,5.90000009536743,1.51999998092651,0.639999985694885
4/3/2021,555,527,0,0,0,8.25,0,0
4/4/2021,453,446,0,0,0,7.82999992370605,0,0
4/5/2021,619,358,24,10,0,7.26000022888184,0.839999973773956,0.639999985694885
4/6/2021,49,9,0,0,0,0.059999998658895,0,0
