ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
5/9/2021,804,251,0,0,0,4.75,0,0
5/10/2021,635,154,56,50,0,1.96000003814697,3.77999997138977,5.05999994277954
5/11/2021,708,279,0,0,0,4.51000022888184,0,0
5/12/2021,693,131,16,34,0,2.27999997138977,1.10000002384186,5.25
5/13/2021,773,191,0,0,0,2.9300000667572,0,0
5/14/2021,909,149,43,28,0,3.17000007629395,3.03999996185303,3.57999992370605
5/15/2021,616,322,12,0,0,6.6399998664856,0.77999997138977,0
5/16/2021,763,240,8,1,0,3.75999999046326,0.509999990463257,0.079999998211861
5/17/2021,777,152,9,28,0,2.03999996185303,0.589999973773956,4.82000017166138
5/18/2021,796,271,0,0,0,4.73000001907349,0,0
5/19/2021,779,146,20,44,0,3.11999988555908,1.20000004768372,5.98999977111816
5/20/2021,738,158,10,10,0,2.83999991416931,0.699999988079071,1.54999995231628
5/21/2021,726,291,17,8,0,5.03999996185303,1.20000004768372,0.620000004768372
5/22/2021,667,199,98,30,0,4.8600001335144,6.40999984741211,3.83999991416931
5/23/2021,581,134,30,22,0,3.01999998092651,1.99000000953674,1.67999994754791
