SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5/9/2021 12:00:00 AM,1,348,385
5/10/2021 12:00:00 AM,1,501,545
5/11/2021 12:00:00 AM,1,441,453
5/12/2021 12:00:00 AM,2,438,479
5/13/2021 12:00:00 AM,1,455,476
5/14/2021 12:00:00 AM,1,304,311
5/15/2021 12:00:00 AM,1,464,490
5/16/2021 12:00:00 AM,1,394,428
5/17/2021 12:00:00 AM,1,444,474
5/18/2021 12:00:00 AM,1,341,373
5/19/2021 12:00:00 AM,1,426,451
5/20/2021 12:00:00 AM,1,456,524
5/21/2021 12:00:00 AM,1,378,398
5/22/2021 12:00:00 AM,1,410,446
5/23/2021 12:00:00 AM,1,564,597
