SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5/20/2021 12:00:00 AM,2,479,528
5/21/2021 12:00:00 AM,1,301,315
5/22/2021 12:00:00 AM,1,264,273
5/23/2021 12:00:00 AM,1,322,329
5/24/2021 12:00:00 AM,1,554,565
5/25/2021 12:00:00 AM,3,603,624
5/26/2021 12:00:00 AM,2,435,461
5/27/2021 12:00:00 AM,1,300,315
5/28/2021 12:00:00 AM,1,227,231
5/29/2021 12:00:00 AM,1,382,392
5/30/2021 12:00:00 AM,1,394,413
5/31/2021 12:00:00 AM,1,500,510
6/1/2021 12:00:00 AM,1,272,279
6/2/2021 12:00:00 AM,1,341,353
6/3/2021 12:00:00 AM,2,616,663
