ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Floors,CaloriesBMR,MarginalCalories,RestingHeartRate
11/20/2020,9127,9.9399995803833,9.9399995803833,0,9.28999996185303,0.300000011920929,0.349999994039536,0,57,11,30,1342,2710,,1837,743,74
11/21/2020,8503,6.6100001335144,6.6100001335144,0,1.19000005722046,0.059999998658895,5.34000015258789,0,13,1,314,1112,2836,,1837,622,70
11/22/2020,4497,3.50999999046326,3.50999999046326,0,0,0,3.5,0,0,0,188,1252,2439,,1837,362,
11/23/2020,12709,12.3100004196167,12.3100004196167,0,7.40000009536743,0.019999999552965,4.86999988555908,0,40,1,276,1123,3224,,1837,1008,67
11/24/2020,3179,2.48000001907349,2.48000001907349,0,0,0,2.48000001907349,0,0,0,116,1324,2189,,1837,225,66
11/25/2020,0,0,0,0,0,0,0,0,0,0,0,1440,1837,,1837,0,
11/26/2020,15381,13.5500001907349,13.5500001907349,0,4.90000009536743,0.100000001490116,8.52999973297119,0,27,3,362,790,3423,,1837,1127,67
11/27/2020,7601,5.96000003814697,5.96000003814697,0,0,0,5.94000005722046,0,0,0,295,738,2731,,1837,550,66
11/28/2020,6405,5,5,0,0,0,4.98999977111816,0,0,0,272,1059,2670,,1837,489,65
11/29/2020,7285,5.73000001907349,5.73000001907349,0,1.0900000333786,0.119999997317791,4.51000022888184,0,12,2,243,1183,2675,,1837,515,64
11/30/2020,6413,4.96000003814697,4.96000003814697,0,0,0,4.94999980926514,0,0,0,269,1171,2672,,1837,510,63
12/1/2020,9570,9.82999992370605,9.82999992370605,0,8.13000011444092,0.100000001490116,1.5900000333786,0,53,4,148,782,3014,,1837,905,62
12/2/2020,7509,5.8600001335144,5.8600001335144,0,0.140000000596046,0.319999992847443,5.3899998664856,0,2,9,268,765,2889,,1837,639,65
12/3/2020,13303,12.9099998474121,12.9099998474121,0,7.94000005722046,0.170000001788139,4.78999996185303,0,44,7,218,1171,3160,,1837,1052,64
12/4/2020,4575,3.5,3.5,0,0.610000014305115,0.540000021457672,2.33999991416931,0,22,18,131,1269,2529,,1837,492,63
